"bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","bin_26","bin_27","bin_28","bin_29","bin_30","bin_31","bin_32","bin_33","bin_34","bin_35","bin_36","bin_37","bin_38","bin_39","bin_40","bin_41","bin_42","bin_43","bin_44","bin_45","bin_46","bin_47","bin_48","bin_49","bin_50","bin_51","bin_52","bin_53","bin_54","bin_55","bin_56","bin_57","bin_58","bin_59","bin_60","bin_61","bin_62","bin_63","bin_64","bin_65","bin_66","bin_67","bin_68","bin_69","bin_70","bin_71","bin_72","bin_73","bin_74","bin_75","bin_76","bin_77","bin_78","bin_79","bin_80","bin_81","bin_82","bin_83","bin_84","bin_85","bin_86","bin_87","bin_88","bin_89","bin_90","bin_91","bin_92","bin_93","bin_94","bin_95","bin_96","bin_97","bin_98","bin_99","bin_100","ord_1","ord_2","ord_3","ord_4","ord_5","ord_6","ord_7","ord_8","ord_9","ord_10","ord_11","ord_12","ord_13","ord_14","ord_15","ord_16","ord_17","ord_18","ord_19","ord_20","ord_21","ord_22","ord_23","ord_24","ord_25","ord_26","ord_27","ord_28","ord_29","ord_30","ord_31","ord_32","ord_33","ord_34","ord_35","ord_36","ord_37","ord_38","ord_39","ord_40","ord_41","ord_42","ord_43","ord_44","ord_45","ord_46","ord_47","ord_48","ord_49","ord_50","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","con_9","con_10","con_11","con_12","con_13","con_14","con_15","con_16","con_17","con_18","con_19","con_20","con_21","con_22","con_23","con_24","con_25","con_26","con_27","con_28","con_29","con_30","con_31","con_32","con_33","con_34","con_35","con_36","con_37","con_38","con_39","con_40","con_41","con_42","con_43","con_44","con_45","con_46","con_47","con_48","con_49","con_50"
1,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,1,NA,1,2,NA,0,NA,NA,4,4,NA,0,2,NA,2,3,3,NA,NA,2,2,2,NA,8,NA,NA,0,2,NA,1,1,3,1,3,2,NA,1,NA,3,2,10,3,0,NA,1,NA,0,2,3,NA,NA,NA,NA,18,-1.1,NA,NA,NA,NA,7,NA,NA,NA,281,NA,NA,NA,NA,NA,NA,20,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,16,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,2,4,0,1,0,1,NA,NA,5,2,NA,1,0,NA,3,2,0,NA,20,1,1,1,NA,0,2,2,1,1,0,0,1,5,1,1,0,NA,2,1,0,2,0,2,1,0,1,NA,1,6,3,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,15,316,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
0,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,0,0,NA,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,NA,1,NA,1,0,1,0,NA,0,1,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,NA,0,2,3,1,1,2,NA,NA,2,5,3,NA,3,1,NA,2,3,3,NA,NA,1,0,1,9,0,1,2,NA,2,0,0,1,6,3,3,2,NA,2,1,1,0,5,1,3,1,NA,NA,1,7,3,NA,3,0.5,NA,NA,0.51,NA,NA,0,0,10,0,NA,0,NA,NA,3,NA,59,0,0,34,198,NA,0,NA,NA,0,0,0,50,0,0,0,0,NA,NA,NA,0,14,66,0,NA,NA,0.5,0.5,0,NA,4,0,0
1,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,0,0,1,0,NA,0,0,1,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,1,0,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,NA,1,NA,1,0,0,NA,NA,0,1,0,0,0,0,1,0,NA,NA,0,NA,0,NA,0,0,NA,0,2,NA,0,2,NA,NA,NA,1,4,4,NA,0,0,NA,1,4,2,NA,NA,1,0,0,5,0,NA,NA,NA,1,NA,0,1,4,2,4,1,NA,2,NA,0,2,2,1,2,NA,NA,NA,3,8,4,NA,NA,NA,NA,NA,-1.06,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,207,NA,NA,NA,NA,NA,0,NA,34,NA,NA,NA,NA,38,NA,NA,NA,10,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,1,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,1,NA,0,1,NA,NA,NA,2,3,3,NA,1,0,NA,1,3,2,NA,NA,1,0,0,8,0,NA,NA,NA,2,NA,0,1,2,3,2,0,NA,1,NA,1,1,3,2,2,NA,NA,NA,0,1,2,NA,NA,0,NA,NA,-0.03,NA,37,0,0,11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24,249,NA,NA,NA,NA,0,NA,0,76,NA,0,0,NA,NA,NA,3,NA,19,80,0,NA,NA,0,0,NA,NA,NA,0,NA
NA,0,NA,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,NA,1,NA,0,1,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,2,NA,0,0,NA,2,NA,NA,4,3,NA,1,0,NA,1,3,2,NA,NA,2,0,1,NA,0,NA,NA,2,0,NA,0,1,5,4,4,2,NA,2,NA,1,2,2,1,2,NA,1,NA,0,5,4,NA,1,NA,NA,NA,-0.03,NA,NA,NA,NA,7,NA,NA,NA,322,NA,NA,NA,NA,NA,NA,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,1,0,0,0,0,0,0,NA,1,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,3,0,0,2,1,NA,NA,4,2,NA,0,0,NA,4,2,0,NA,NA,0,0,0,NA,0,0,1,1,0,2,0,2,0,2,1,2,NA,0,1,2,0,4,2,0,1,1,NA,0,3,1,NA,1,NA,NA,27,0.6,NA,NA,NA,NA,6,NA,NA,NA,271,NA,NA,NA,67,NA,NA,9,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
0,0,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,0,0,1,0,NA,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,1,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,1,2,0,2,2,NA,NA,0,3,2,NA,1,0,NA,2,2,1,NA,NA,1,0,0,9,0,0,1,NA,0,1,0,4,6,2,1,0,NA,0,1,0,1,0,3,1,0,NA,NA,0,6,2,NA,NA,1,NA,NA,0.62,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,15,287,NA,NA,0.5,NA,NA,NA,NA,43,NA,NA,NA,NA,31,NA,NA,NA,4,57,NA,NA,0,NA,NA,NA,NA,NA,40,NA
1,0,NA,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,NA,0,0,0,1,0,0,NA,1,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,1,NA,0,3,NA,NA,NA,2,3,3,NA,0,0,NA,2,3,2,NA,NA,1,2,0,18,0,NA,NA,NA,0,NA,0,3,4,2,3,3,NA,1,NA,0,3,0,2,2,NA,NA,NA,2,4,4,NA,NA,3,NA,NA,0.41,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,234,NA,NA,NA,NA,NA,15,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,9,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,NA,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,NA,0,1,NA,0,0,1,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,0,NA,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,1,0,NA,0,0,NA,0,2,NA,1,3,NA,NA,NA,2,3,3,NA,0,0,NA,1,2,1,NA,NA,3,1,0,15,0,NA,NA,NA,2,NA,0,3,6,1,4,1,NA,2,NA,0,2,0,1,3,NA,NA,NA,0,9,4,NA,NA,NA,NA,18,-1.7,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,40,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,7,62,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1,0,1,0,0,0,0,0,NA,1,0,1,0,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,NA,1,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,8,4,0,2,3,NA,NA,NA,3,2,5,3,0,NA,1,4,0,NA,NA,1,8,0,NA,0,0,2,NA,2,0,1,2,4,1,2,2,1,2,2,3,1,7,1,1,3,NA,NA,0,5,4,0,3,NA,NA,NA,0.06,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,15,297,NA,NA,NA,NA,36,NA,0,NA,NA,NA,1,24,NA,NA,2,0,24,NA,0,21,NA,0,0,NA,NA,NA,NA,NA
0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA,0,1,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,0,2,2,0,2,0,NA,0,NA,3,4,NA,2,0,2,3,3,2,0,NA,2,0,0,NA,8,1,1,NA,2,0,0,1,6,2,4,2,NA,1,2,3,2,8,2,2,1,NA,0,0,7,2,NA,3,NA,NA,24,0.21,NA,NA,NA,NA,12,NA,100,NA,NA,NA,NA,NA,59,NA,NA,30,205,NA,NA,NA,NA,52,NA,NA,51,NA,NA,1,NA,NA,NA,2,NA,16,63,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
NA,0,0,0,0,0,0,0,NA,1,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,0,NA,0,1,NA,0,0,0,0,0,0,NA,0,NA,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,NA,1,8,NA,0,1,NA,NA,NA,NA,5,1,3,1,0,NA,2,2,1,NA,20,1,8,0,NA,8,NA,NA,NA,3,NA,1,2,6,3,2,2,2,2,NA,2,1,4,2,1,NA,NA,NA,0,2,2,0,NA,NA,NA,18,0.7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,7,NA,22,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,2,2,1,0,NA,NA,1,1,3,NA,0,2,NA,4,3,3,NA,NA,2,0,0,9,0,0,2,NA,1,0,1,1,1,4,3,1,NA,0,1,1,0,4,2,0,0,NA,NA,0,6,3,NA,NA,0,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,243,84,NA,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
1,0,0,NA,0,0,0,NA,NA,1,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,0,NA,1,0,0,NA,NA,NA,NA,0,0,1,NA,0,1,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,NA,1,2,3,0,0,2,NA,NA,NA,4,3,5,2,0,NA,3,4,1,NA,NA,3,1,0,NA,8,1,1,NA,1,0,1,1,1,2,2,0,2,1,2,3,0,9,2,0,0,NA,NA,0,1,2,2,NA,NA,NA,NA,2.96,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,15,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,22,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
